departure,time,flight,airline,info_url,status,is_departure
Vishakhapatnam (VTZ),09:30,6E287,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E287,Landed - On-time [+],False
Hyderabad (HYD),09:35,6E151,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E151,Landed - On-time [+],False
Chandigarh (IXC),09:35,6E849,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E849,Landed - On-time [+],False
Mangalore (IXE),09:40,6E379,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E379,Landed - On-time [+],True
Delhi (DEL),09:45,UK812,Vistara,https://www.bangaloreairport.com/kempegowda-flight-departure/UK812,En Route [+],True
Vadodara (BDQ),09:50,6E807,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E807,En Route [+],True
Kochi (COK),09:50,6E113,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E113,En Route [+],True
Mangalore (IXE),09:55,6E508,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E508,Landed - Delayed [+],False
Madurai (IXM),09:55,6E7172,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E7172,Landed - On-time [+],False
Kolkata (CCU),10:00,6E6128,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6128,Landed - On-time [+],False
Port Blair (IXZ),10:00,6E6595,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6595,En Route [+],True
Nagpur (NAG),10:05,6E6753,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6753,En Route [+],True
Mumbai (BOM),10:05,6E5338,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E5338,Landed - On-time [+],False
Hubli (HBX),10:05,S5101,Star Air,https://www.bangaloreairport.com/kempegowda-flight-departure/S5101,Scheduled [+],True
Chennai (MAA),10:05,6E6137,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6137,Landed - On-time [+],False
Coimbatore (CJB),10:15,6E532,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E532,Landed - On-time [+],False
Hyderabad (HYD),10:15,6E537,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E537,Landed - On-time [+],True
Port Blair (IXZ),10:15,G81802,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G81802,En Route [+],True
Pune (PNQ),10:20,SG531,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG531,En Route [+],True
Hyderabad (HYD),10:20,9I502,Alliance Air,https://www.bangaloreairport.com/kempegowda-flight-arrival/9I502,En Route - Delayed [+],False
Ranchi (IXR),10:20,G8145,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8145,Unknown [+],False
Vijayawada (VGA),10:20,6E7203,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E7203,Landed - Delayed [+],False
Tirupati (TIR),10:25,6E7257,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7257,En Route [+],True
Tiruchirappalli (TRZ),10:30,6E7245,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E7245,Landed - On-time [+],False
